,Unnamed: 0,name,categories,display_phone,image_url,price,rating,review_count,latitude,longitude,is_closed,neighborhood,sublocality,postal_code
0,0,Daddy's Donuts,coffee,(206) 496-3670,https://s3-media2.fl.yelpcdn.com/bphoto/5PerLgJLB5oxYZeDbM1oGA/o.jpg,$,5.0,399,47.75804,-122.24616,False,,,98028
1,1,Medzo Gelato Bar & Travel Cafe,coffee,(206) 935-4333,https://s3-media2.fl.yelpcdn.com/bphoto/YyhCI8NjL46gBe5Wqw_dhg/o.jpg,$,5.0,76,47.46663,-122.34666999999999,False,,,98166
2,2,Celine Patisserie,coffee,(206) 466-5378,https://s3-media1.fl.yelpcdn.com/bphoto/m5-AFFMYdXrkzxurIo6ziQ/o.jpg,$,5.0,123,47.678863,-122.35563700000002,False,,,98103
3,3,M Bakery & Deli,coffee,(253) 395-1068,https://s3-media4.fl.yelpcdn.com/bphoto/zBraJVQ2j-GQMuZ3GCrxHg/o.jpg,$,5.0,147,47.4110034,-122.22795819999999,False,,,98032
4,4,Monorail Espresso,coffee,(206) 422-0736,https://s3-media2.fl.yelpcdn.com/bphoto/NQgSinclnX1pMo69cr8Ixg/o.jpg,$,4.5,464,47.611236572299994,-122.3349914551,False,,,98101
5,5,Café Besalu,coffee,(206) 789-1463,https://s3-media4.fl.yelpcdn.com/bphoto/JUlZZl68vYBKpvObTNToGg/o.jpg,$,4.5,788,47.671821301099996,-122.38782088379999,False,,,98107
6,6,Storyville Coffee Company,coffee,(206) 780-5777,https://s3-media3.fl.yelpcdn.com/bphoto/nJgiyjMZ7sglAtc5wyKSLQ/o.jpg,$$,4.5,1240,47.608884700000004,-122.34039569999999,False,,,98101
7,7,Sound & Fog,coffee,,https://s3-media3.fl.yelpcdn.com/bphoto/7slGw2nDIADvLXn2MFTzWA/o.jpg,$,5.0,114,47.560101,-122.38301200000001,False,,,98116
8,8,Biscuit and Bean,coffee,(206) 457-5735,https://s3-media3.fl.yelpcdn.com/bphoto/GOs9A81aksPm9U3dB4JA7A/o.jpg,$,4.5,635,47.67184,-122.37657,False,,,98107
9,9,Mighty Mugs Coffee,coffee,(425) 440-1450,https://s3-media1.fl.yelpcdn.com/bphoto/8ARvT-kga9E0Fh-kVMSZLg/o.jpg,$,5.0,91,47.44081845229999,-122.2193846852,False,,,98032
